epoch,lr,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,epoch_sec
1,0.0003,1.733256134564413,0.37981952422461224,0.35158364753220966,1.4057587189154688,0.48374761005660544,0.4520054084579426,38.660563834011555
2,0.00029953760005996916,1.2740897518675087,0.5590648072679283,0.5391396784944483,1.1623424932104223,0.5774378587935213,0.5708484468286892,37.15827462496236
3,0.00029815325108927063,1.0872348183193004,0.6218211648403571,0.6031962018407595,1.1696438422394528,0.5621414918516607,0.5518868392077538,37.48343691602349
4,0.0002958554880596515,1.0177671264389483,0.6402789171940974,0.6239468006723243,1.1821713151257078,0.5717017214111343,0.5815025520426766,36.20372587488964
5,0.00029265847744427303,0.9165607812074094,0.6841673503360169,0.6675652318943983,0.9839459434294108,0.6290630974003736,0.6276876235475626,37.2175551247783
6,0.000288581929876693,0.8403539939235721,0.713699753945533,0.7007850675095001,1.0534007168636723,0.6462715104022856,0.6332622296145262,36.83681120816618
7,0.0002836509786282552,0.798116058282328,0.71903199348614,0.7028167371882934,0.7810738943730896,0.7246653924252745,0.7116316193738973,36.76599120814353
8,0.00027789602465311383,0.749576308719441,0.7452830188679245,0.727998969597126,1.1227277516748893,0.6137667302875628,0.5821698770558319,36.64461174979806
9,0.0002713525491562421,0.7004639448153376,0.7571780148150982,0.7443665251682037,0.7302207270954125,0.7590822177452977,0.7323733248827656,39.66661562491208
10,0.00026406089484000466,0.6787762670266618,0.7670221493027072,0.7504488742491866,0.7503900680669635,0.7418738048573525,0.7222678293900633,48.414695375133306
11,0.0002560660171779821,0.6631149687270242,0.7756357670221493,0.7610872350030602,1.0511220463945123,0.6520076487533905,0.6510041271812919,42.418922499753535
12,0.0002474172072495276,0.6274820400907721,0.7899917965545529,0.7775173091094014,0.940634741951813,0.6845124281843123,0.6619907296180998,37.396898082923144
13,0.000238167787843871,0.6002176366349142,0.8006562756846634,0.7860457355896485,0.8442229904932456,0.7323135754118458,0.7169567057409415,36.95779999997467
14,0.00022837478470739232,0.5740679756136974,0.8018867924528302,0.7978494379144473,0.6080808317000278,0.8087954108619325,0.7765242009054838,35.332223917357624
15,0.000218098574960932,0.5467375781176225,0.8162428219852338,0.8083784970436707,0.8311791642218201,0.7476099430944906,0.7022625331020819,34.88138933386654
16,0.00020740251485476348,0.517454417735656,0.8338802297453689,0.8231611393762679,0.5644145011901855,0.8183556403074392,0.7857286696789372,35.17486408306286
17,0.00019635254915624213,0.5117309579505013,0.8330598851028674,0.8252222272203424,0.7313124177332818,0.7456978973193561,0.7344885741069862,39.426453249994665
18,0.00018501680457838585,0.4881387383259154,0.8264971287940935,0.8197437636084164,0.6535517040561764,0.8011472281032949,0.7694343367225385,35.78956283302978
19,0.00017346516975603465,0.49821351589581536,0.8342904019199305,0.8234043776166174,0.7697653964190364,0.7456978966355552,0.7413192932208518,35.74306058278307
20,0.00016176886435917675,0.46522845684797476,0.8437243642329778,0.8336448355175126,0.6230951210280905,0.8030592738784295,0.7803859524079614,36.17217616736889
21,0.00015,0.435580998243515,0.8527481542736708,0.8479392686203191,0.6907272393001425,0.7820267685284806,0.7700259338706793,37.78228983283043
22,0.00013823113564082325,0.4250973838460162,0.8576702214441307,0.8516758679429293,0.6656201741663493,0.7954110903220241,0.7781080261850963,35.54671587469056
23,0.00012653483024396538,0.4231338111761655,0.8572600491717763,0.847819453960336,0.545635396447282,0.8145315493270042,0.7785365002754545,35.13736349996179
24,0.00011498319542161417,0.3901013949545218,0.869565217342408,0.8633644814649702,0.6886554433898305,0.7782026774340788,0.7576367871905463,35.28857233328745
25,0.00010364745084375787,0.3949719330538874,0.8638228055294466,0.8600231471379889,0.6232974502484155,0.8030592739923962,0.7764047870234737,36.42955649970099
26,9.259748514523652e-05,0.37817858869761495,0.8703855619849095,0.8646962795913323,0.658840055789364,0.7820267685284806,0.7689882164648063,37.28498666686937
