epoch,lr,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,epoch_sec
1,0.0003,2.1952592325171456,0.26086956524183946,0.15285176132291034,2.0117324743398517,0.28107074569789675,0.16637618556194408,46.15281258383766
2,0.00029953760005996916,1.9377660833488632,0.29532403610738406,0.19635930003286572,1.9180865246752707,0.26003824091778205,0.166854991329293,50.972486541140825
3,0.00029815325108927063,1.7813209571048214,0.33264971290385753,0.2548004981532107,1.7713977816455906,0.31166347992351817,0.24861456824570105,46.76235504122451
4,0.0002958554880596515,1.6950217717196532,0.34618539789155234,0.2921908504070402,1.6601597022827908,0.37093690277057667,0.3014572802468218,43.48639575019479
5,0.00029265847744427303,1.6285208302310885,0.35397867105406167,0.31284185543804477,1.653621383880338,0.3384321221430033,0.2906206961108928,44.39738141698763
6,0.000288581929876693,1.5648474977875069,0.40442986059032376,0.3795353707831829,1.6107859406370961,0.36520076493232245,0.4071575180053827,47.94625954190269
7,0.0002836509786282552,1.480567974179763,0.40319934373658833,0.39498984262661413,1.7028899648677323,0.34799235158850994,0.35612884371653164,45.816218917258084
8,0.00027789602465311383,1.4437418876856052,0.42780968009007575,0.4177688356758127,1.7670034314888614,0.3537284893697808,0.3936328751442938,43.97492616670206
9,0.0002713525491562421,1.3955876576890702,0.4659557014068098,0.45892030030706576,1.4637340102095449,0.3766730404378807,0.40412218237839675,49.68494408391416
10,0.00026406089484000466,1.3402380625472097,0.4741591468538976,0.471232187280701,1.4025000554881635,0.45124282959998224,0.4462409090694509,50.17105008289218
11,0.0002560660171779821,1.3169463870953693,0.4885151763740771,0.48284245072817694,1.4992451727048388,0.43785850871817333,0.4611378061965553,48.42962733330205
12,0.0002474172072495276,1.291879441035977,0.4991796554797394,0.5015493619999275,1.2917695749786113,0.4875717018917915,0.5216403796509302,45.93637404218316
13,0.000238167787843871,1.2800891010168638,0.5045118949958983,0.5033527070852699,1.2351370147263798,0.5430210327896972,0.5666834577918524,44.68614441715181
14,0.00022837478470739232,1.219124419949307,0.5151763740771124,0.5145965626047718,1.2227408710446914,0.5506692163461026,0.5648476747618986,45.90391220804304
15,0.000218098574960932,1.216764945686597,0.528301886816901,0.5261927260319993,1.2557634655421823,0.4990439768275157,0.5069574224725808,48.26960237510502
16,0.00020740251485476348,1.1888266138799666,0.5381460213534064,0.539803329241395,1.1743651863265903,0.5391969404986438,0.5323735970612311,48.7601051251404
17,0.00019635254915624213,1.160140208478244,0.549630844954881,0.5414175092707247,1.2774561616248428,0.5315487574550891,0.564964755928246,42.02217983268201
