epoch,lr,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,epoch_sec
1,0.0003,1.9780567163713063,0.30311730926989333,0.26706107161152404,1.799268649823351,0.44359464638547735,0.38456097042131987,39.181791707873344
2,0.00029953760005996916,1.6588961482537,0.4704675964027081,0.42109856328320416,1.6742364936303453,0.3384321225988705,0.31050844919656806,35.963656541891396
3,0.00029815325108927063,1.5004190307254182,0.48441345369942956,0.45323718525487805,1.517725768554279,0.4072657744355685,0.3708412175513413,35.32043737499043
4,0.0002958554880596515,1.3697766785351735,0.5283018867924528,0.5099508100054915,1.5645199982203672,0.4149139581059407,0.3897826357048312,37.74763395776972
5,0.00029265847744427303,1.2928459580752378,0.559064807219032,0.5316355941752722,1.3279093200800296,0.5239005738417004,0.5336900104882252,49.404038874898106
6,0.000288581929876693,1.2252233501239522,0.5611156685319076,0.546331058667694,1.2782749154143762,0.5334608031732402,0.527461606585728,47.67116574989632
7,0.0002836509786282552,1.178385157385647,0.572600492231175,0.5591297678866429,1.178326047629289,0.6003824092348037,0.6008717029900645,45.612489458639175
8,0.00027789602465311383,1.135643986231778,0.5996718622065647,0.5868241061184236,1.3545351689449916,0.4741873806110988,0.4828559837285306,44.990917291957885
9,0.0002713525491562421,1.098346696758583,0.6115668580803938,0.6051033251857427,1.2087062377318825,0.546845124169016,0.5628582026019846,48.863402833696455
10,0.00026406089484000466,1.0512534745703768,0.6312551272023008,0.624468337149697,1.1193930310683313,0.604206501525857,0.6210847318539444,49.4285928751342
11,0.0002560660171779821,1.0360800961767482,0.6341263330598852,0.6244083619079434,1.0513988375435823,0.6022944551808884,0.6018959482273363,51.44961458398029
12,0.0002474172072495276,0.9833272330774647,0.6476620180598041,0.6421421392251568,0.9858814569093985,0.6634799237460981,0.6553031377938175,52.388355708215386
13,0.000238167787843871,0.967157630963439,0.6529942576126352,0.6460286631291616,0.9943212532860372,0.6577437860218106,0.650081079521714,52.01917820889503
14,0.00022837478470739232,0.9571050263702918,0.6611977030841711,0.6516160527242235,0.950557591240447,0.6787762905170083,0.6798764416026699,50.44869724987075
15,0.000218098574960932,0.929404943423549,0.669401148531259,0.6607974685191654,1.1233768210128434,0.573613766787385,0.5748588728551264,45.7692021667026
16,0.00020740251485476348,0.9012804891947745,0.6780147662018048,0.6707264670539962,0.9659317340951121,0.6500956027503223,0.6523129048630998,43.933027000166476
17,0.00019635254915624213,0.8905052065947097,0.6751435603442204,0.6667383966991921,0.9804769756689127,0.6596558320818622,0.6715034480137912,46.868280791677535
18,0.00018501680457838585,0.8738261066175466,0.6890894175798215,0.6793345580908469,1.1155395193264088,0.608030592506292,0.6236559576155676,45.969532791059464
19,0.00017346516975603465,0.8489434596355867,0.6952420016895854,0.688105260761807,0.8810157593532001,0.7170172081850683,0.7192878156264298,47.98290624981746
20,0.00016176886435917675,0.8435933736135375,0.6997538966854837,0.6917760383563931,0.9099967809069909,0.6864244746432477,0.7036070434639206,48.88986137509346
21,0.00015,0.8273720050855579,0.7104183757178015,0.7027002536277325,0.9319366104972067,0.6749521993086397,0.6782368187045689,46.031168417073786
22,0.00013823113564082325,0.7875567688327817,0.7198523380308488,0.7160691113234859,0.8285521663169788,0.7361376678738494,0.7436088972493706,46.04157083295286
23,0.00012653483024396538,0.7837490505425044,0.7272354389332277,0.7216985030430926,0.9839507801810824,0.6558317397338255,0.6926399425860296,47.63935770839453
24,0.00011498319542161417,0.7696736933658903,0.726825266611977,0.7190332143626657,0.8198163564072968,0.7533460805908444,0.7498508180789687,46.972754375077784
