epoch,lr,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,epoch_sec
1,0.0003,1.799102133859661,0.3814602133140298,0.336833417002851,1.4861306968656143,0.434034416712037,0.45178391949703584,45.56357304099947
2,0.00029953760005996916,1.3421215154383395,0.5385561936502089,0.5134799603065711,1.1862811162412508,0.6042065010699897,0.5910056743637305,44.618901333305985
3,0.00029815325108927063,1.1091582883665854,0.6177194421168133,0.5962060068704191,1.1329267200502793,0.6156787765185646,0.5714331473358244,46.348479124717414
4,0.0002958554880596515,1.0301813438742546,0.6480721903443826,0.6246021076956552,0.9557191166549522,0.6692160610715017,0.6421960684745777,45.420524292159826
5,0.00029265847744427303,0.9067081320080432,0.6833470057424118,0.6604016474559907,1.006965686212762,0.630975143859309,0.6221602467108325,49.03327012481168
6,0.000288581929876693,0.8136321870492461,0.721903199294828,0.7072355963182952,0.8018536132334751,0.6978967497499221,0.6692304049784124,48.80291141709313
7,0.0002836509786282552,0.8120068387480619,0.7214930270224736,0.7036002236939491,0.8805101232934408,0.6902485658516163,0.6693075474411483,50.407258625142276
8,0.00027789602465311383,0.7669299102592312,0.7346185397378141,0.7175847390248213,1.0040611391085739,0.6768642445139402,0.6786696204222414,46.347274584230036
9,0.0002713525491562421,0.7294646506430772,0.7551271533555335,0.7454550432105701,0.9798371686990129,0.6558317400757259,0.6557147086263753,48.13735899981111
10,0.00026406089484000466,0.7004756229250425,0.7596390483514318,0.7447266701778972,0.773124188583622,0.7284894835196764,0.7271289591498247,45.26308087492362
11,0.0002560660171779821,0.6548816444836648,0.7657916324367476,0.7543382252306632,0.7271429430230398,0.7399617589682511,0.7138961321526033,43.96060329070315
12,0.0002474172072495276,0.6359692177291382,0.7879409351438846,0.7727775958927594,0.7476299342416213,0.7361376676459157,0.6967989370155435,43.76687429193407
13,0.000238167787843871,0.593898691683152,0.7945036915504512,0.783935333990517,0.7242753364387935,0.766730401985504,0.7447511720291261,43.338181249797344
14,0.00022837478470739232,0.5887839268034262,0.8035274815911441,0.7889058080006442,0.6375738792620015,0.7782026773201121,0.7766656139621725,41.7550102500245
15,0.000218098574960932,0.5886702996184339,0.7961443806887651,0.7856361927022585,0.8019186691389941,0.7342256217568144,0.7272210495750724,36.77274183323607
16,0.00020740251485476348,0.5404544353142833,0.8141919605745656,0.7976428212875964,0.8826097292152463,0.7074569788535284,0.7045259512065147,37.08881783299148
17,0.00019635254915624213,0.5176017244298308,0.8228055782940077,0.8136320468136414,0.5881519076017303,0.7934990444329227,0.7820253008750002,40.04264249978587
18,0.00018501680457838585,0.51802411704791,0.8207547169322358,0.8110323504717689,0.705542615677157,0.7801147226393793,0.7842402723038338,44.41764979111031
19,0.00017346516975603465,0.4666744275010933,0.8383921246923708,0.8320501279339847,0.5344793667756804,0.8279158704367469,0.8170558196601728,47.17553620785475
20,0.00016176886435917675,0.46778166056950626,0.8478260869076254,0.8342982157024273,0.6608676367918347,0.7839388143036151,0.7643149701346625,47.44869429199025
21,0.00015,0.46464243259852395,0.8351107464646393,0.8246239422657139,0.6142274955034712,0.8030592738784295,0.7933022415635985,49.31152679165825
22,0.00013823113564082325,0.46270583759476847,0.8461853979160006,0.834855436462847,0.6842930734043595,0.7839388148164658,0.7846071046379233,44.123016541823745
